id	name	provider	price	units
135	135-product	7	18	9
136	136-product	8	94	4
137	137-product	1	51	4
138	138-product	9	100	9
139	139-product	5	56	1
140	140-product	6	62	14
141	141-product	2	1	17
142	142-product	7	36	12
143	143-product	9	13	12
144	144-product	9	15	1
145	145-product	4	47	20
146	146-product	3	92	16
147	147-product	0	80	7
148	148-product	5	12	14
149	149-product	5	100	8
150	150-product	8	72	10
151	151-product	1	93	10
152	152-product	0	49	19
153	153-product	8	99	4
154	154-product	9	10	16
155	155-product	4	78	5
156	156-product	1	86	19
157	157-product	8	40	15
158	158-product	6	74	5
159	159-product	7	44	16
160	160-product	6	55	8
161	161-product	4	35	6
162	162-product	5	44	9
163	163-product	6	92	5
164	164-product	5	99	19
165	165-product	7	97	16
166	166-product	4	82	7
167	167-product	3	92	11
168	168-product	5	87	13
169	169-product	7	16	7
170	170-product	3	79	4
171	171-product	2	4	4
172	172-product	6	93	11
173	173-product	7	80	18
174	174-product	8	80	3
175	175-product	9	56	4
176	176-product	4	7	20
177	177-product	8	69	2
178	178-product	1	30	6
179	179-product	9	54	11
180	180-product	3	28	8
181	181-product	2	99	1
182	182-product	5	10	1
183	183-product	4	10	18
184	184-product	2	4	15
185	185-product	5	81	13
186	186-product	9	66	10
187	187-product	4	11	18
188	188-product	8	58	12
189	189-product	8	21	13
190	190-product	2	82	10
191	191-product	9	38	3
192	192-product	1	10	16
193	193-product	2	90	6
194	194-product	8	54	6
195	195-product	6	40	18
196	196-product	3	22	10
197	197-product	7	54	12
198	198-product	6	29	8
199	199-product	0	92	16
200	200-product	2	96	16
201	201-product	6	16	12
202	202-product	4	61	16
203	203-product	6	94	2
204	204-product	8	33	3
205	205-product	1	87	20
206	206-product	3	39	11
207	207-product	7	21	6
208	208-product	9	73	17
209	209-product	7	32	18
210	210-product	3	59	12
211	211-product	4	89	2
212	212-product	1	47	6
213	213-product	6	43	1
214	214-product	3	90	2
215	215-product	5	13	11
216	216-product	3	6	14
217	217-product	0	25	3
218	218-product	9	83	1
219	219-product	5	52	10
220	220-product	2	13	16
221	221-product	8	58	1
222	222-product	7	49	8
223	223-product	9	65	2
224	224-product	1	13	15
225	225-product	8	95	3
226	226-product	3	55	1
227	227-product	8	87	10
228	228-product	4	68	17
229	229-product	5	77	13
230	230-product	1	99	20
231	231-product	8	75	5
232	232-product	3	36	1
233	233-product	3	6	9
234	234-product	9	8	14
235	235-product	7	26	9
236	236-product	2	34	9
237	237-product	6	46	14
238	238-product	6	46	17
239	239-product	0	24	19
240	240-product	6	17	5
241	241-product	2	12	4
242	242-product	8	59	8
243	243-product	2	25	20
244	244-product	1	48	6
245	245-product	6	17	4
246	246-product	6	63	5
247	247-product	9	23	17
248	248-product	3	50	6
249	249-product	4	83	3
250	250-product	5	1	14
251	251-product	6	78	7
252	252-product	3	44	20
253	253-product	1	87	19
254	254-product	5	96	14
255	255-product	3	99	11
256	256-product	1	75	5
257	257-product	9	99	2
258	258-product	6	21	10
259	259-product	6	95	7
260	260-product	3	7	4
261	261-product	3	89	17
262	262-product	5	39	5
263	263-product	6	2	7
264	264-product	6	22	15
265	265-product	8	95	16
266	266-product	7	4	1
267	267-product	8	35	16
268	268-product	4	68	8
269	269-product	9	33	11
270	270-product	7	45	20
271	271-product	4	32	2
272	272-product	8	31	8
273	273-product	0	55	11
274	274-product	7	55	10
275	275-product	0	76	14
276	276-product	3	95	10
277	277-product	6	87	20
278	278-product	9	46	18
279	279-product	4	59	10
280	280-product	6	82	13
281	281-product	5	92	9
282	282-product	3	46	20
283	283-product	5	24	4
284	284-product	9	22	2
285	285-product	3	23	6
286	286-product	4	81	4
287	287-product	3	12	5
288	288-product	6	83	12
289	289-product	0	93	18
290	290-product	0	51	18
291	291-product	9	99	13
292	292-product	0	87	1
293	293-product	7	17	10
294	294-product	7	44	7
295	295-product	6	96	7
296	296-product	6	48	8
297	297-product	2	5	7
298	298-product	6	8	1
299	299-product	0	52	8
300	300-product	0	19	10
301	301-product	4	43	8
302	302-product	1	64	9
303	303-product	4	84	19
304	304-product	4	99	12
305	305-product	6	83	8
306	306-product	8	57	7
307	307-product	6	34	12
308	308-product	0	34	10
309	309-product	1	41	11
310	310-product	1	53	8
311	311-product	3	9	6
312	312-product	7	45	3
313	313-product	2	62	10
314	314-product	7	14	4
315	315-product	0	78	1
316	316-product	4	26	20
317	317-product	4	51	10
318	318-product	5	99	20
319	319-product	0	55	16
320	320-product	5	90	19
321	321-product	6	25	16
322	322-product	6	52	16
323	323-product	4	74	13
324	324-product	7	40	14
325	325-product	9	30	7
326	326-product	2	50	5
327	327-product	0	18	16
328	328-product	0	87	18
329	329-product	5	6	2
330	330-product	0	27	1
331	331-product	9	7	9
332	332-product	2	65	8
333	333-product	0	92	7
334	334-product	4	2	7
335	335-product	6	11	19
336	336-product	1	96	10
337	337-product	8	63	17
338	338-product	7	95	6
339	339-product	3	6	16
340	340-product	1	48	8
341	341-product	2	20	18
342	342-product	1	72	9
343	343-product	7	52	19
344	344-product	6	69	7
345	345-product	4	7	16
346	346-product	6	70	19
347	347-product	3	21	5
348	348-product	3	1	12
349	349-product	6	100	10
350	350-product	4	86	1
351	351-product	3	2	11
352	352-product	7	38	1
353	353-product	3	50	11
354	354-product	1	59	14
355	355-product	4	90	8
356	356-product	4	5	19
357	357-product	2	62	10
358	358-product	4	87	7
359	359-product	0	60	10
360	360-product	9	46	6
361	361-product	1	91	18
362	362-product	8	4	7
363	363-product	1	82	16
364	364-product	2	55	9
365	365-product	0	97	10
366	366-product	7	58	9
367	367-product	6	59	11
368	368-product	4	92	18
369	369-product	1	14	3
370	370-product	7	77	10
371	371-product	0	30	1
372	372-product	1	67	13
373	373-product	0	77	16
374	374-product	2	71	16
375	375-product	5	40	15
376	376-product	2	76	13
377	377-product	2	21	14
378	378-product	6	37	6
379	379-product	6	19	10
380	380-product	4	48	1
381	381-product	3	37	12
382	382-product	3	20	1
383	383-product	5	89	17
384	384-product	7	18	1
385	385-product	2	84	13
386	386-product	0	90	7
387	387-product	3	98	5
388	388-product	8	33	19
389	389-product	2	14	20
390	390-product	4	76	13
391	391-product	1	77	10
392	392-product	8	54	3
393	393-product	7	20	16
394	394-product	5	25	15
395	395-product	8	42	13
396	396-product	1	36	1
397	397-product	0	88	5
398	398-product	2	95	7
399	399-product	2	61	6
400	400-product	4	45	17
401	401-product	9	40	10
402	402-product	2	84	17
403	403-product	8	18	6
404	404-product	9	95	6
405	405-product	6	91	11
406	406-product	8	37	20
407	407-product	6	44	7
408	408-product	8	74	19
409	409-product	1	67	7
410	410-product	5	49	12
411	411-product	1	70	14
412	412-product	5	13	16
413	413-product	9	99	20
414	414-product	8	11	10
415	415-product	7	37	15
416	416-product	8	75	19
417	417-product	3	87	14
418	418-product	3	6	8
419	419-product	4	71	7
420	420-product	4	86	10
421	421-product	7	87	19
422	422-product	1	95	7
423	423-product	8	53	8
424	424-product	3	56	9
425	425-product	2	13	9
426	426-product	3	29	17
427	427-product	8	71	17
428	428-product	4	61	19
429	429-product	8	70	7
430	430-product	4	74	16
431	431-product	5	40	19
432	432-product	9	97	16
433	433-product	1	45	7
434	434-product	1	2	13
435	435-product	0	36	3
436	436-product	6	62	11
437	437-product	8	5	13
438	438-product	5	95	5
439	439-product	1	11	10
440	440-product	6	8	7
441	441-product	9	20	17
442	442-product	0	54	20
443	443-product	6	32	9
444	444-product	2	48	17
445	445-product	6	90	3
446	446-product	0	15	7
447	447-product	8	97	14
448	448-product	7	8	2
449	449-product	6	86	1
450	450-product	3	74	7
451	451-product	6	97	2
452	452-product	7	89	18
453	453-product	3	40	9
454	454-product	7	48	8
455	455-product	0	58	15
456	456-product	0	12	14
457	457-product	7	1	9
458	458-product	5	96	17
459	459-product	1	26	11
460	460-product	0	94	12
461	461-product	4	76	1
462	462-product	3	67	17
463	463-product	2	83	13
464	464-product	5	78	5
465	465-product	3	83	13
466	466-product	6	89	13
467	467-product	6	14	3
468	468-product	2	84	18
469	469-product	3	80	2
470	470-product	9	66	15
471	471-product	1	29	5
472	472-product	8	76	8
473	473-product	7	13	3
474	474-product	9	10	20
475	475-product	2	99	18
476	476-product	8	76	9
477	477-product	8	81	16
478	478-product	3	65	14
479	479-product	0	79	8
480	480-product	2	70	10
481	481-product	8	8	16
482	482-product	1	60	15
483	483-product	7	90	7
484	484-product	8	67	2
485	485-product	2	1	6
486	486-product	6	47	6
487	487-product	0	15	4
488	488-product	0	70	20
489	489-product	1	79	19
490	490-product	0	85	13
491	491-product	4	50	9
492	492-product	4	40	17
493	493-product	1	86	14
494	494-product	6	19	11
495	495-product	7	38	7
496	496-product	0	76	4
497	497-product	4	51	20
498	498-product	1	63	6
499	499-product	0	76	20
500	500-product	2	78	19
501	501-product	1	49	19
502	502-product	7	47	9
503	503-product	0	2	19
504	504-product	5	67	14
505	505-product	8	74	13
506	506-product	5	35	8
507	507-product	9	40	17
508	508-product	7	96	13
509	509-product	5	88	11
510	510-product	3	41	6
511	511-product	9	73	2
512	512-product	6	21	11
513	513-product	3	57	8
514	514-product	5	42	3
515	515-product	7	9	12
516	516-product	4	58	7
517	517-product	4	52	5
518	518-product	2	86	17
519	519-product	9	24	1
520	520-product	8	5	11
521	521-product	6	100	19
522	522-product	9	62	4
523	523-product	2	3	17
524	524-product	4	10	8
525	525-product	9	94	3
526	526-product	9	59	18
527	527-product	8	45	1
528	528-product	4	32	9
529	529-product	2	52	3
530	530-product	2	22	14
531	531-product	6	86	11
532	532-product	8	27	5
533	533-product	6	66	19
534	534-product	1	93	18
535	535-product	1	62	16
536	536-product	0	73	18
537	537-product	6	88	4
538	538-product	3	55	14
539	539-product	8	31	1
540	540-product	6	11	11
541	541-product	2	79	10
542	542-product	0	56	4
543	543-product	8	2	18
544	544-product	7	74	13
545	545-product	6	55	13
546	546-product	6	23	10
547	547-product	3	57	17
548	548-product	8	71	18
549	549-product	2	15	14
550	550-product	8	32	9
551	551-product	1	55	7
552	552-product	9	37	4
553	553-product	2	7	2
554	554-product	2	33	17
555	555-product	9	51	2
556	556-product	8	10	14
557	557-product	3	12	7
558	558-product	9	15	7
559	559-product	8	77	2
560	560-product	6	10	10
561	561-product	6	50	6
562	562-product	8	51	1
563	563-product	4	4	10
564	564-product	7	45	5
565	565-product	9	82	19
566	566-product	2	11	13
567	567-product	9	37	3
568	568-product	4	35	12
569	569-product	9	85	3
570	570-product	4	96	4
571	571-product	0	98	9
572	572-product	1	87	12
573	573-product	4	63	14
574	574-product	7	48	4
575	575-product	6	90	3
576	576-product	1	6	9
577	577-product	3	79	20
578	578-product	8	4	15
579	579-product	7	57	11
580	580-product	5	63	12
581	581-product	8	41	3
582	582-product	5	90	7
583	583-product	1	64	10
584	584-product	8	30	2
585	585-product	0	5	6
586	586-product	2	4	18
587	587-product	9	81	12
588	588-product	7	8	4
589	589-product	3	20	16
590	590-product	7	66	16
591	591-product	4	4	19
592	592-product	9	75	11
593	593-product	5	58	7
594	594-product	9	29	15
595	595-product	2	93	15
596	596-product	7	76	2
597	597-product	0	65	11
598	598-product	0	14	6
599	599-product	3	48	19
600	600-product	9	78	2
601	601-product	7	93	17
602	602-product	0	6	7
603	603-product	1	56	3
604	604-product	1	31	5
605	605-product	5	60	9
606	606-product	5	1	8
607	607-product	9	58	17
608	608-product	9	43	19
609	609-product	6	11	1
610	610-product	8	55	19
611	611-product	3	43	17
612	612-product	0	99	14
613	613-product	0	87	10
614	614-product	4	97	8
615	615-product	1	12	8
616	616-product	6	42	14
617	617-product	4	8	7
618	618-product	4	91	8
619	619-product	3	33	15
620	620-product	9	22	5
621	621-product	5	93	2
622	622-product	6	5	13
623	623-product	4	30	5
624	624-product	0	31	2
625	625-product	2	80	7
626	626-product	2	67	3
627	627-product	6	15	6
628	628-product	9	67	1
629	629-product	2	92	8
630	630-product	7	80	7
631	631-product	4	42	14
632	632-product	9	66	14
633	633-product	2	37	4
634	634-product	6	55	7
635	635-product	1	43	19
636	636-product	7	25	17
637	637-product	5	78	13
638	638-product	3	34	6
639	639-product	2	47	13
640	640-product	5	86	16
641	641-product	3	46	5
642	642-product	8	25	7
643	643-product	7	29	6
644	644-product	1	77	11
645	645-product	1	33	6
646	646-product	2	6	1
647	647-product	5	42	11
648	648-product	9	41	19
649	649-product	8	44	12
650	650-product	2	29	14
651	651-product	2	98	13
652	652-product	2	8	4
653	653-product	2	56	4
654	654-product	7	23	9
655	655-product	2	43	18
656	656-product	1	13	14
657	657-product	2	96	11
658	658-product	1	26	2
659	659-product	7	81	7
660	660-product	4	26	1
661	661-product	3	45	4
662	662-product	0	81	12
663	663-product	2	90	14
664	664-product	2	35	18
665	665-product	0	96	16
666	666-product	7	15	11
667	667-product	1	49	5
668	668-product	8	72	20
669	669-product	4	86	5
670	670-product	3	72	14
671	671-product	0	39	13
672	672-product	9	22	15
673	673-product	3	86	10
674	674-product	6	85	2
675	675-product	7	10	19
676	676-product	6	99	1
677	677-product	0	86	19
678	678-product	2	83	10
679	679-product	6	22	1
680	680-product	5	21	1
681	681-product	3	54	3
682	682-product	3	54	8
683	683-product	0	13	16
684	684-product	3	34	11
685	685-product	4	88	6
686	686-product	5	20	11
687	687-product	9	51	18
688	688-product	9	62	5
689	689-product	8	81	16
690	690-product	3	28	10
691	691-product	5	82	1
692	692-product	1	33	4
693	693-product	7	45	1
694	694-product	9	19	2
695	695-product	6	1	5
696	696-product	1	74	2
697	697-product	4	4	19
698	698-product	0	75	8
699	699-product	9	87	4
700	700-product	3	31	18
701	701-product	2	41	20
702	702-product	3	33	18
703	703-product	7	50	19
704	704-product	3	43	15
705	705-product	2	33	9
706	706-product	3	37	16
707	707-product	0	93	14
708	708-product	0	21	16
709	709-product	4	69	1
710	710-product	1	42	16
711	711-product	9	84	13
712	712-product	4	94	3
713	713-product	0	38	1
714	714-product	5	38	14
715	715-product	2	66	19
716	716-product	1	80	5
717	717-product	3	36	17
718	718-product	0	15	5
719	719-product	9	63	12
720	720-product	3	35	19
721	721-product	1	100	7
722	722-product	1	78	13
723	723-product	2	82	8
724	724-product	4	20	2
725	725-product	8	23	14
726	726-product	5	11	8
727	727-product	8	26	20
728	728-product	9	94	13
729	729-product	8	37	2
730	730-product	9	77	1
731	731-product	9	62	6
732	732-product	4	37	11
733	733-product	1	7	18
734	734-product	8	37	5
735	735-product	0	55	10
736	736-product	4	2	16
737	737-product	1	23	3
738	738-product	7	13	14
739	739-product	8	52	6
740	740-product	4	65	15
741	741-product	0	32	20
742	742-product	9	18	8
743	743-product	0	66	5
744	744-product	3	67	5
745	745-product	8	98	12
746	746-product	0	46	2
747	747-product	9	82	14
748	748-product	0	87	6
749	749-product	0	86	1
750	750-product	3	54	11
751	751-product	0	82	2
752	752-product	1	89	9
753	753-product	9	10	16
754	754-product	7	50	14
755	755-product	9	39	15
756	756-product	9	11	12
757	757-product	7	96	6
758	758-product	5	63	6
759	759-product	8	83	8
760	760-product	5	17	19
761	761-product	3	67	4
762	762-product	6	60	19
763	763-product	8	31	16
764	764-product	9	95	2
765	765-product	2	97	9
766	766-product	6	16	9
767	767-product	1	13	13
768	768-product	6	20	9
769	769-product	9	99	7
770	770-product	7	75	20
771	771-product	9	44	20
772	772-product	2	80	4
773	773-product	1	78	4
774	774-product	0	64	20
775	775-product	0	14	12
776	776-product	4	88	8
777	777-product	9	6	16
778	778-product	4	87	14
779	779-product	7	12	18
780	780-product	6	6	20
781	781-product	1	29	13
782	782-product	3	96	14
783	783-product	1	97	16
784	784-product	0	8	12
785	785-product	7	32	16
786	786-product	9	64	9
787	787-product	8	92	14
788	788-product	2	95	8
789	789-product	7	95	7
790	790-product	3	81	17
791	791-product	5	88	7
792	792-product	7	9	17
793	793-product	2	96	18
794	794-product	2	13	19
795	795-product	9	50	19
796	796-product	3	13	2
797	797-product	8	32	1
798	798-product	4	31	7
799	799-product	0	23	20
800	800-product	2	41	16
801	801-product	3	32	15
802	802-product	0	2	9
803	803-product	6	95	10
804	804-product	6	39	6
805	805-product	9	47	1
806	806-product	7	71	10
807	807-product	6	91	4
808	808-product	6	81	18
809	809-product	7	39	20
810	810-product	3	30	12
811	811-product	7	64	3
812	812-product	3	41	14
813	813-product	7	77	4
814	814-product	5	13	11
815	815-product	3	26	5
816	816-product	1	88	4
817	817-product	0	72	11
818	818-product	2	10	11
819	819-product	2	37	5
820	820-product	2	38	18
821	821-product	6	28	20
822	822-product	8	12	3
823	823-product	1	70	9
824	824-product	5	80	15
825	825-product	9	5	18
826	826-product	4	43	11
827	827-product	0	43	1
828	828-product	1	94	11
829	829-product	6	15	19
830	830-product	2	47	6
831	831-product	3	39	8
832	832-product	7	56	10
833	833-product	9	77	18
834	834-product	0	89	19
835	835-product	0	84	19
836	836-product	4	81	15
837	837-product	5	17	13
838	838-product	8	6	6
839	839-product	2	79	6
840	840-product	9	22	9
841	841-product	1	8	11
842	842-product	7	64	6
843	843-product	0	2	15
844	844-product	3	63	12
845	845-product	6	12	18
846	846-product	5	42	9
847	847-product	6	88	12
848	848-product	0	81	10
849	849-product	4	93	18
850	850-product	5	8	9
851	851-product	8	97	20
852	852-product	4	72	6
853	853-product	3	46	6
854	854-product	7	45	11
855	855-product	4	28	11
856	856-product	2	28	17
857	857-product	6	6	9
858	858-product	7	15	13
859	859-product	9	54	18
860	860-product	2	13	8
861	861-product	7	91	6
862	862-product	5	71	10
863	863-product	2	19	14
864	864-product	8	21	10
865	865-product	2	68	6
866	866-product	9	91	14
867	867-product	7	15	6
868	868-product	5	88	4
869	869-product	4	56	3
870	870-product	4	2	16
871	871-product	2	97	2
872	872-product	9	16	4
873	873-product	6	8	11
874	874-product	1	69	6
875	875-product	3	98	15
876	876-product	8	85	9
877	877-product	7	27	7
878	878-product	1	20	11
879	879-product	4	49	13
880	880-product	0	35	17
881	881-product	1	96	4
882	882-product	1	2	15
883	883-product	8	35	12
884	884-product	5	20	2
885	885-product	8	30	16
886	886-product	0	39	9
887	887-product	7	68	11
888	888-product	0	16	12
889	889-product	2	2	9
890	890-product	6	40	8
891	891-product	2	37	9
892	892-product	3	30	2
893	893-product	8	27	3
894	894-product	3	42	5
895	895-product	6	87	19
896	896-product	4	94	5
897	897-product	5	7	4
898	898-product	5	91	6
899	899-product	3	81	3
900	900-product	5	88	9
901	901-product	0	96	4
902	902-product	2	83	8
903	903-product	9	96	14
904	904-product	6	66	20
905	905-product	1	38	3
906	906-product	0	15	1
907	907-product	2	95	3
908	908-product	3	14	15
909	909-product	3	8	4
910	910-product	6	59	4
911	911-product	9	3	12
912	912-product	1	84	18
913	913-product	3	44	9
914	914-product	6	23	17
915	915-product	5	87	19
916	916-product	9	3	9
917	917-product	0	58	13
918	918-product	4	92	6
919	919-product	9	3	9
920	920-product	3	30	8
921	921-product	6	58	6
922	922-product	0	45	1
923	923-product	7	67	1
924	924-product	7	25	16
925	925-product	8	74	2
926	926-product	4	5	13
927	927-product	5	18	14
928	928-product	8	74	11
929	929-product	2	20	16
930	930-product	5	58	7
931	931-product	5	41	12
932	932-product	5	84	5
933	933-product	6	7	14
934	934-product	5	59	5
935	935-product	4	52	7
936	936-product	8	5	3
937	937-product	5	25	10
938	938-product	0	83	10
939	939-product	4	3	10
940	940-product	6	77	8
941	941-product	6	93	5
942	942-product	8	28	18
943	943-product	2	42	9
944	944-product	2	44	4
945	945-product	0	88	5
946	946-product	5	73	20
947	947-product	1	39	3
948	948-product	6	28	3
949	949-product	4	15	20
950	950-product	0	74	17
951	951-product	5	14	12
952	952-product	6	76	8
953	953-product	4	71	10
954	954-product	1	72	5
955	955-product	7	59	6
956	956-product	3	43	1
957	957-product	0	66	15
958	958-product	0	18	5
959	959-product	9	28	3
960	960-product	2	23	15
961	961-product	4	30	4
962	962-product	4	79	20
963	963-product	7	47	17
964	964-product	1	81	3
965	965-product	4	59	15
966	966-product	3	44	9
967	967-product	5	9	20
968	968-product	2	73	8
969	969-product	1	43	19
970	970-product	1	18	4
971	971-product	2	88	4
972	972-product	0	60	17
973	973-product	4	35	1
974	974-product	7	3	6
975	975-product	9	13	19
976	976-product	1	83	5
977	977-product	0	76	5
978	978-product	1	23	3
979	979-product	3	57	2
980	980-product	1	26	10
981	981-product	7	48	13
982	982-product	9	28	20
983	983-product	2	65	19
984	984-product	9	5	20
985	985-product	5	27	12
986	986-product	1	46	13
987	987-product	2	49	18
988	988-product	8	11	18
989	989-product	7	71	17
990	990-product	5	82	4
991	991-product	0	98	16
992	992-product	3	79	11
993	993-product	6	91	9
994	994-product	6	16	9
995	995-product	7	86	7
996	996-product	0	65	3
997	997-product	6	28	4
998	998-product	1	82	7
999	999-product	1	24	3
